 Procedimentos hospitalares do SUS - por local de internação - São Paulo
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Ano/mês atendimento
Município: 352440 JACAREI
Procedimento: 0302040013 ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO RESPIRATÓRIO COM COMPLICAÇÕES SISTÊMICAS, 0302040021 ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO RESPIRATÓRIO SEM COMPLICAÇÕES SISTÊMICAS, 0303140097 TRATAMENTO DE HEMORRAGIAS DAS VIAS RESPIRATORIAS, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO
Período:2019-2022
"Ano/mês atendimento";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"  Setembro/2021";14;14;40152,58;35844,70;-;-;4307,88;-;-;2868,04;2868,04;93;6,6;4;28,57
"  Outubro/2021";4;4;9880,38;8813,58;-;-;1066,80;-;-;2470,09;2470,09;37;9,3;1;25,00
"  Novembro/2021";20;20;31525,40;28361,00;-;-;3164,40;-;-;1576,27;1576,27;121;6,0;5;25,00
"  Dezembro/2021";11;11;45787,65;40321,77;-;-;5465,88;-;-;4162,51;4162,51;107;9,7;1;9,09
"2022";113;113;562321,28;489612,99;-;-;72708,29;-;-;4976,29;4976,29;1284;11,4;28;24,78
"..Janeiro/2022";7;7;27384,26;24179,79;-;-;3204,47;-;-;3912,04;3912,04;62;8,9;3;42,86
"..Fevereiro/2022";6;6;37746,71;31364,40;-;-;6382,31;-;-;6291,12;6291,12;108;18,0;1;16,67
"..Março/2022";5;5;10294,29;9157,29;-;-;1137,00;-;-;2058,86;2058,86;22;4,4;1;20,00
"..Abril/2022";7;7;9411,30;8454,54;-;-;956,76;-;-;1344,47;1344,47;32;4,6;-;-
"..Maio/2022";11;11;31883,73;28174,70;-;-;3709,03;-;-;2898,52;2898,52;77;7,0;1;9,09
"..Junho/2022";13;13;64217,64;55768,07;-;-;8449,57;-;-;4939,82;4939,82;106;8,2;5;38,46
"..Julho/2022";11;11;49833,34;43707,52;-;-;6125,82;-;-;4530,30;4530,30;115;10,5;3;27,27
"..Agosto/2022";11;11;103224,13;89457,98;-;-;13766,15;-;-;9384,01;9384,01;202;18,4;2;18,18
"..Setembro/2022";12;12;71658,92;62281,14;-;-;9377,78;-;-;5971,58;5971,58;167;13,9;1;8,33
"..Outubro/2022";16;16;111479,56;96959,24;-;-;14520,32;-;-;6967,47;6967,47;219;13,7;6;37,50
"..Novembro/2022";10;10;30964,97;27282,84;-;-;3682,13;-;-;3096,50;3096,50;141;14,1;3;30,00
"..Dezembro/2022";4;4;14222,43;12825,48;-;-;1396,95;-;-;3555,61;3555,61;33;8,3;2;50,00
"Total";776;776;1445800,17;1285635,39;-;-;160164,78;-;-;1863,14;1863,14;5183;6,7;121;15,59
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
