 Morbidade Hospitalar do SUS - por local de internação - São Paulo
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Ano/mês atendimento
Município: 354990 SAO JOSE DOS CAMPOS
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2019-2022
"Ano/mês atendimento";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"..Novembro/2019";268;268;379213,28;324382,42;318,05;-;54176,11;-;-;1414,97;1414,97;1560;5,8;29;10,82
"..Dezembro/2019";269;269;293901,03;245270,33;1544,53;-;45278,19;-;-;1092,57;1092,57;1444;5,4;31;11,52
"2020";2976;2976;4537031,02;3908611,40;-;-;628419,62;-;-;1524,54;1524,54;17379;5,8;542;18,21
"..Janeiro/2020";252;252;254536,93;207063,39;-;-;47473,54;-;-;1010,07;1010,07;1158;4,6;38;15,08
"..Fevereiro/2020";369;369;349191,52;288846,22;-;-;60345,30;-;-;946,32;946,32;1430;3,9;32;8,67
"..Março/2020";295;295;350149,54;296335,50;-;-;53814,04;-;-;1186,95;1186,95;1357;4,6;37;12,54
"..Abril/2020";161;161;274080,90;235024,31;-;-;39056,59;-;-;1702,37;1702,37;1089;6,8;38;23,60
"..Maio/2020";213;213;484942,85;426060,58;-;-;58882,27;-;-;2276,73;2276,73;1548;7,3;51;23,94
"..Junho/2020";238;238;536203,51;476498,59;-;-;59704,92;-;-;2252,96;2252,96;2017;8,5;65;27,31
"..Julho/2020";290;290;524673,86;462678,66;-;-;61995,20;-;-;1809,22;1809,22;1957;6,7;75;25,86
"..Agosto/2020";235;235;455006,41;398253,73;-;-;56752,68;-;-;1936,20;1936,20;1949;8,3;59;25,11
"..Setembro/2020";179;179;241901,22;209520,98;-;-;32380,24;-;-;1351,40;1351,40;1123;6,3;37;20,67
"..Outubro/2020";207;207;321272,39;277067,74;-;-;44204,65;-;-;1552,04;1552,04;1303;6,3;33;15,94
"..Novembro/2020";278;278;407441,29;345833,16;-;-;61608,13;-;-;1465,62;1465,62;1321;4,8;34;12,23
"..Dezembro/2020";259;259;337630,60;285428,54;-;-;52202,06;-;-;1303,59;1303,59;1127;4,4;43;16,60
"2021";2992;2992;4153148,09;3586238,23;7968,61;-;550611,23;-;-;1388,08;1388,08;18683;6,2;478;15,98
"  Janeiro/2021";174;174;313442,83;274141,23;-;-;39301,60;-;-;1801,40;1801,40;1244;7,1;58;33,33
"  Fevereiro/2021";176;176;230117,72;198549,92;-;-;31567,80;-;-;1307,49;1307,49;1241;7,1;26;14,77
"  Março/2021";215;215;275390,78;230906,58;-;-;44484,20;-;-;1280,89;1280,89;1383;6,4;35;16,28
"  Abril/2021";208;208;314838,97;273068,94;-;-;41770,03;-;-;1513,65;1513,65;1293;6,2;29;13,94
"  Maio/2021";239;239;416541,87;362797,53;-;-;53744,34;-;-;1742,85;1742,85;1538;6,4;46;19,25
"  Junho/2021";240;240;352467,89;309069,84;-;-;43398,05;-;-;1468,62;1468,62;1501;6,3;39;16,25
"  Julho/2021";260;260;338149,55;291558,86;1829,92;-;42929,35;-;-;1300,58;1300,58;1620;6,2;44;16,92
"  Agosto/2021";281;281;402061,32;347679,29;1340,28;-;51622,90;-;-;1430,82;1430,82;1847;6,6;44;15,66
"  Setembro/2021";219;219;336735,37;288620,63;446,76;-;47195,03;-;-;1537,60;1537,60;1541;7,0;31;14,16
"  Outubro/2021";280;280;358176,32;306849,82;1847,67;-;47522,83;-;-;1279,20;1279,20;1551;5,5;34;12,14
"  Novembro/2021";332;332;380627,78;323048,60;2206,14;-;53037,54;-;-;1146,47;1146,47;1819;5,5;38;11,45
"  Dezembro/2021";368;368;434597,69;379946,99;297,84;-;54037,56;-;-;1180,97;1180,97;2105;5,7;54;14,67
"2022";4177;4177;5628060,18;4780921,86;-;-;847138,32;-;-;1347,39;1347,39;21230;5,1;513;12,28
"..Janeiro/2022";369;369;608431,93;529248,32;-;-;79183,61;-;-;1648,87;1648,87;2458;6,7;75;20,33
"..Fevereiro/2022";253;253;350798,14;295498,44;-;-;55299,70;-;-;1386,55;1386,55;1435;5,7;40;15,81
"..Março/2022";283;283;460284,01;390986,54;-;-;69297,47;-;-;1626,45;1626,45;1553;5,5;33;11,66
"..Abril/2022";360;360;443986,29;381015,33;-;-;62970,96;-;-;1233,30;1233,30;1971;5,5;40;11,11
"..Maio/2022";445;445;600973,93;512724,92;-;-;88249,01;-;-;1350,50;1350,50;2224;5,0;43;9,66
"..Junho/2022";405;405;540301,78;460455,44;-;-;79846,34;-;-;1334,08;1334,08;2139;5,3;46;11,36
"..Julho/2022";370;370;487940,10;412208,69;-;-;75731,41;-;-;1318,76;1318,76;1983;5,4;36;9,73
"..Agosto/2022";434;434;461331,19;386356,92;-;-;74974,27;-;-;1062,98;1062,98;1735;4,0;52;11,98
"..Setembro/2022";422;422;571269,20;485097,88;-;-;86171,32;-;-;1353,72;1353,72;2112;5,0;49;11,61
"..Outubro/2022";298;298;388710,54;326503,50;-;-;62207,04;-;-;1304,40;1304,40;1305;4,4;29;9,73
"..Novembro/2022";329;329;464813,63;390823,98;-;-;73989,65;-;-;1412,81;1412,81;1406;4,3;52;15,81
"..Dezembro/2022";209;209;249219,44;210001,90;-;-;39217,54;-;-;1192,44;1192,44;909;4,3;18;8,61
"Total";14686;14686;19723471,14;16866937,97;10076,85;-;2835848,30;-;-;1343,01;1343,01;83026;5,7;1986;13,52
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
