 Morbidade Hospitalar do SUS - por local de internação - São Paulo
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Ano/mês atendimento
Município: 355410 TAUBATE
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2019-2022
"Ano/mês atendimento";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"..Maio/2022";147;147;531857,67;442480,24;-;-;89377,43;-;-;3618,08;3618,08;994;6,8;17;11,56
"..Junho/2022";172;172;398762,50;323223,86;-;-;75538,64;-;-;2318,39;2318,39;984;5,7;12;6,98
"..Julho/2022";132;132;374938,43;302292,87;-;-;72645,56;-;-;2840,44;2840,44;818;6,2;10;7,58
"..Agosto/2022";125;125;398654,63;331266,29;-;-;67388,34;-;-;3189,24;3189,24;999;8,0;13;10,40
"..Setembro/2022";150;150;267700,11;213432,15;-;-;54267,96;-;-;1784,67;1784,67;611;4,1;10;6,67
"..Outubro/2022";135;135;225638,37;178432,01;-;-;47206,36;-;-;1671,40;1671,40;609;4,5;12;8,89
"..Novembro/2022";166;166;215127,00;169581,25;-;-;45545,75;-;-;1295,95;1295,95;616;3,7;12;7,23
"..Dezembro/2022";122;122;126691,56;96225,45;-;-;30466,11;-;-;1038,46;1038,46;358;2,9;8;6,56
"Total";6535;6535;18228848,80;15152593,99;595,68;-;3075028,53;-;-;2789,42;2789,42;45096;6,9;748;11,45
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
