 Morbidade Hospitalar do SUS - por local de internação - São Paulo
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Ano/mês atendimento
Município: 355410 TAUBATE
Capítulo CID-10: IX.  Doenças do aparelho circulatório
Período:2019-2022
"Ano/mês atendimento";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"..Outubro/2019";239;239;1283796,96;1107542,40;-;-;176254,56;-;-;5371,54;5371,54;1319;5,5;12;5,02
"..Novembro/2019";237;237;1334749,88;1124285,68;-;-;210464,20;-;-;5631,86;5631,86;1703;7,2;14;5,91
"..Dezembro/2019";209;209;1104248,12;951312,86;-;-;152935,26;-;-;5283,48;5283,48;1307;6,3;15;7,18
"2020";2184;2184;11307623,70;9830157,11;-;-;1477466,59;-;-;5177,48;5177,48;13711;6,3;194;8,88
"..Janeiro/2020";219;219;1192309,92;1032123,20;-;-;160186,72;-;-;5444,34;5444,34;1043;4,8;14;6,39
"..Fevereiro/2020";183;183;841125,78;726258,95;-;-;114866,83;-;-;4596,32;4596,32;1140;6,2;12;6,56
"..Março/2020";152;152;697361,84;616228,87;-;-;81132,97;-;-;4587,91;4587,91;841;5,5;11;7,24
"..Abril/2020";132;132;618973,28;530266,73;-;-;88706,55;-;-;4689,19;4689,19;903;6,8;11;8,33
"..Maio/2020";159;159;864655,07;755401,41;-;-;109253,66;-;-;5438,08;5438,08;1063;6,7;15;9,43
"..Junho/2020";165;165;868465,45;760936,08;-;-;107529,37;-;-;5263,43;5263,43;1098;6,7;26;15,76
"..Julho/2020";170;170;844273,33;733570,20;-;-;110703,13;-;-;4966,31;4966,31;1233;7,3;11;6,47
"..Agosto/2020";196;196;1021831,44;890210,49;-;-;131620,95;-;-;5213,43;5213,43;1323;6,8;15;7,65
"..Setembro/2020";193;193;1207754,75;1064926,78;-;-;142827,97;-;-;6257,80;6257,80;1191;6,2;17;8,81
"..Outubro/2020";200;200;1084764,16;943677,60;-;-;141086,56;-;-;5423,82;5423,82;1303;6,5;22;11,00
"..Novembro/2020";225;225;1199415,61;1026915,47;-;-;172500,14;-;-;5330,74;5330,74;1372;6,1;23;10,22
"..Dezembro/2020";190;190;866693,07;749641,33;-;-;117051,74;-;-;4561,54;4561,54;1201;6,3;17;8,95
"2021";2243;2243;12156077,02;10457274,92;3269,52;-;1689213,41;-;-;5419,56;5419,56;12093;5,4;175;7,80
"  Janeiro/2021";161;161;910817,66;781111,90;-;-;129705,76;-;-;5657,25;5657,25;827;5,1;15;9,32
"  Fevereiro/2021";157;157;935332,20;807382,28;-;-;127949,92;-;-;5957,53;5957,53;969;6,2;13;8,28
"  Março/2021";185;185;973149,06;819148,65;-;-;154000,41;-;-;5260,27;5260,27;868;4,7;20;10,81
"  Abril/2021";158;158;837782,42;722708,19;-;-;115074,23;-;-;5302,42;5302,42;775;4,9;13;8,23
"  Maio/2021";192;192;984215,28;851425,24;-;-;132790,04;-;-;5126,12;5126,12;1014;5,3;11;5,73
"  Junho/2021";176;176;941591,58;821808,63;-;-;119782,95;-;-;5349,95;5349,95;675;3,8;7;3,98
"  Julho/2021";205;205;1100506,21;945067,97;-;-;155438,24;-;-;5368,32;5368,32;1049;5,1;13;6,34
"  Agosto/2021";210;210;1081846,44;942337,66;-;-;139508,78;-;-;5151,65;5151,65;1021;4,9;19;9,05
"  Setembro/2021";197;197;1012580,75;876707,54;-;-;135873,21;-;-;5140,00;5140,00;1145;5,8;9;4,57
"  Outubro/2021";170;170;936999,78;803294,33;363,28;-;132541,37;-;-;5511,76;5511,76;1317;7,7;20;11,76
"  Novembro/2021";215;215;1259031,39;1081092,18;1089,84;-;174841,65;-;-;5855,96;5855,96;1215;5,7;18;8,37
"  Dezembro/2021";217;217;1182224,25;1005190,35;1816,40;-;171706,85;-;-;5448,04;5448,04;1218;5,6;17;7,83
"2022";2645;2645;13554597,13;10492292,62;-;-;3062304,51;-;-;5124,61;5124,61;16466;6,2;228;8,62
"..Janeiro/2022";207;207;1201433,51;993225,42;-;-;208208,09;-;-;5804,03;5804,03;1212;5,9;22;10,63
"..Fevereiro/2022";191;191;988317,39;825120,79;-;-;163196,60;-;-;5174,44;5174,44;1228;6,4;20;10,47
"..Março/2022";249;249;1363132,06;1145984,82;-;-;217147,24;-;-;5474,43;5474,43;1670;6,7;20;8,03
"..Abril/2022";211;211;1340114,27;1106194,73;-;-;233919,54;-;-;6351,25;6351,25;1367;6,5;24;11,37
"..Maio/2022";253;253;1205505,43;994917,52;-;-;210587,91;-;-;4764,84;4764,84;1499;5,9;17;6,72
"..Junho/2022";193;193;1042095,73;810360,54;-;-;231735,19;-;-;5399,46;5399,46;1296;6,7;20;10,36
"..Julho/2022";162;162;801544,12;563406,00;-;-;238138,12;-;-;4947,80;4947,80;1194;7,4;10;6,17
"..Agosto/2022";253;253;1282670,78;951113,89;-;-;331556,89;-;-;5069,84;5069,84;1688;6,7;19;7,51
"..Setembro/2022";228;228;1120331,83;829868,67;-;-;290463,16;-;-;4913,74;4913,74;1551;6,8;18;7,89
"..Outubro/2022";252;252;1248904,13;913474,10;-;-;335430,03;-;-;4955,97;4955,97;1713;6,8;29;11,51
"..Novembro/2022";256;256;1250041,69;860165,50;-;-;389876,19;-;-;4882,98;4882,98;1429;5,6;21;8,20
"..Dezembro/2022";190;190;710506,19;498460,64;-;-;212045,55;-;-;3739,51;3739,51;619;3,3;8;4,21
"Total";9808;9808;51192827,79;42883633,77;3269,52;-;8299605,33;-;-;5219,50;5219,50;59068;6,0;775;7,90
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
