  Dados detalhados das AIH - por residência - Brasil
Valor aprovado por Procedimento e Ano atendimento
Período:Jun/2020-Out/2022
"Procedimento";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"0201010224 BIOPSIA DE GANGLIO LINFATICO";-;-;-;-;-;-;-;-;-;-;-;46,19;86679,25;142171,49;111330,76;340227,69
"0201010232 BIOPSIA DE GLANDULA SALIVAR";-;-;-;-;-;-;-;-;-;-;-;-;1597,86;2337,35;2565,68;6500,89
"0201010240 BIOPSIA DE IRIS, CORPO CILIAR, RETINA, COROIDE, VITREO E TUMOR INTRA OCULAR";-;-;-;-;-;-;-;-;-;-;-;-;2121,30;6340,86;4098,33;12560,49
"0201010259 BIOPSIA DE LAMINA PEDICULO E PROCESSOS VERTEBRAIS (A CEU ABERTO)";-;-;-;-;-;-;-;-;-;-;-;-;9482,48;17812,86;20921,69;48217,03
"0201010267 BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO)";-;-;-;-;-;-;-;-;-;-;-;-;204950,03;353563,17;317567,92;876081,12
"0201010275 BIOPSIA DE MEDULA OSSEA";-;-;-;-;-;-;-;-;-;-;-;500,00;807880,12;1237809,04;891973,06;2938162,22
"0201010283 BIOPSIA DE MUSCULO (A CEU ABERTO)";-;-;-;-;-;-;-;-;-;-;-;-;2392,00;3864,73;2427,71;8684,44
"0201010305 BIOPSIA DE OSSO / CARTILAGEM DA CINTURA ESCAPULAR (POR AGULHA / CEU ABERTO)";-;-;-;-;-;-;-;-;-;-;-;-;23532,58;34702,92;23502,56;81738,06
"0201010313 BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA / CEU ABERTO)";-;-;-;-;-;-;-;-;-;-;-;-;73116,29;120601,10;82123,71;275841,10
"0201010321 BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO)";-;-;-;-;-;-;-;-;-;-;-;-;185008,95;373742,41;302595,74;861347,10
"0201010330 BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO)";-;-;-;-;-;-;-;-;-;-;-;188,26;59920,76;120998,57;85116,68;266224,27
"0201010372 BIOPSIA DE PELE E PARTES MOLES";51,66;-;-;-;77,49;-;-;-;-;51,66;-;77,49;242203,81;344008,21;282393,37;868863,69
"0201010380 BIOPSIA DE PENIS";-;-;-;-;-;-;-;-;-;-;-;-;3171,97;4649,34;4841,82;12663,13
"0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA)";-;-;-;-;-;-;-;-;-;-;-;-;170380,54;249652,78;222502,63;642535,95
"0201010410 BIOPSIA DE PROSTATA VIA TRANSRETAL";-;-;-;-;-;-;-;-;-;-;-;-;56310,19;97542,67;207477,52;361330,38
"0201010437 BIOPSIA DE RIM POR PUNCAO";-;-;-;-;-;-;-;-;-;-;-;-;80186,94;124863,12;85913,98;290964,04
"0201010488 BIOPSIA DE URETER";-;-;-;-;-;-;-;-;-;-;-;-;1789,83;3080,83;3205,56;8076,22
"0201010496 BIOPSIA DE URETRA";-;-;-;-;-;-;-;-;-;-;-;-;1879,92;2688,22;2480,39;7048,53
"0201010500 BIOPSIA/PUNCAO DE VAGINA";-;-;-;-;-;-;-;-;-;-;-;-;3468,90;16111,05;13983,00;33562,95
"0201010518 BIOPSIA/PUNCAO DE VULVA";-;-;-;-;-;-;-;-;-;-;-;-;1846,69;3917,01;3225,10;8988,80
"0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA";-;-;-;-;-;-;-;-;-;-;-;-;6532,65;9309,54;7295,85;23138,04
"0201010534 BIOPSIA ESTEREOTAXICA";-;-;-;-;-;-;-;-;-;-;-;-;247250,22;301690,63;241163,77;790104,62
"0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE";-;-;-;-;-;-;194,00;-;-;-;-;1503,50;1112100,15;1708339,75;1391232,20;4213369,60
"0201010550 BIOPSIA PRE-ESCALENICA";-;-;-;-;-;-;-;-;-;-;-;-;34789,16;41993,03;31691,73;108473,92
"0201010569 BIOPSIA/EXERESE DE NODULO DE MAMA";-;-;-;-;-;-;-;-;-;-;-;-;68894,00;127347,50;114516,50;310758,00
"0201010615 PUNCAO DE VAGINA";-;-;-;-;-;-;-;-;-;-;-;-;119,85;84,60;98,70;303,15
"0201010623 PUNCAO EXPLORADORA DO DEFERENTE";-;-;-;-;-;-;-;-;-;-;-;-;42,30;112,80;141,00;296,10
"0201010666 BIOPSIA DO COLO UTERINO";-;-;-;-;-;-;-;-;-;-;-;-;23472,81;40543,52;34643,56;98659,89
"0202020550 DOSAGEM DE PROTEINA C FUNCIONAL";75,00;-;-;-;-;-;-;-;-;-;75,00;-;75,00;16188,75;13357,50;29771,25
"0202020568 DOSAGEM DE PROTEINA S FUNCIONAL";-;-;-;-;-;-;-;-;-;-;-;-;-;22425,00;19756,25;42181,25
"0202020576 PESQUISA DE ANTICOAGULANTE LUPICO";-;-;-;-;-;-;-;-;-;-;-;-;275,00;55836,00;49208,50;105319,50
"0202030237 IMUNOFENOTIPAGEM DE HEMOPATIAS MALIGNAS (POR MARCADOR)";-;-;-;-;-;-;-;-;-;-;-;1440,00;2922168,00;5042488,00;3645764,00;11611860,00
"0202031098 TESTE TREPONEMICO P/ DETECCAO DE SIFILIS";5,00;-;-;-;-;-;-;10,00;-;-;-;17,50;535724,00;918989,25;701131,00;2155876,75
"0202031209 DOSAGEM DE TROPONINA";-;-;-;-;-;-;-;-;-;-;-;27,00;526414,50;853087,50;775049,85;2154578,85
"0202031276 DOSAGEM DE ADENOSINA-DESAMINASE (ADA)";-;-;-;-;-;-;-;-;-;-;-;-;10470,76;30638,99;33320,77;74430,52
"0202031284 ANTIBETA 2 GLICOPROTEINA I -IGG";-;-;-;-;-;-;-;-;-;-;-;-;-;20606,25;26606,25;47212,50
"0202031292 DOSAGEM DE ANTI-BETA-2-GLICOPROTEINA I - IGM";-;-;-;-;-;-;-;-;-;-;-;-;-;22606,25;25793,75;48400,00
"0202031306 DIAGNOSTICO E REAVALIACAO DE HEMOGLOBINURIA PAROXISTICA NOTURNA";-;-;-;-;-;-;-;-;-;-;-;-;80,00;16720,00;16720,00;33520,00
"0202031314 DOSAGEM DE ANTICORPO ANTI-ACHR";-;-;-;-;-;-;-;-;-;-;-;-;-;86,20;1422,30;1508,50
"0202031322 DOSAGEM DE SIROLIMO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;52,33;52,33
"0202100014 DETERMINACAO DE CARIOTIPO EM CULTURA DE LONGA DURACAO (C/ TECNICA DE BANDAS)";-;-;-;-;-;-;-;-;-;-;-;-;79452,00;122724,00;64836,00;267012,00
"0202100022 DETERMINACAO DE CARIOTIPO EM MEDULA OSSEA E VILOSIDADES CORIONICAS (C/ TECNICA DE BANDAS)";-;-;-;-;-;-;-;-;-;-;-;-;533576,00;397736,00;220432,00;1151744,00
"0202100030 DETERMINACAO DE CARIOTIPO EM SANGUE PERIFERICO (C/ TECNICA DE BANDAS)";-;-;-;-;-;-;-;-;-;-;-;160,00;389968,00;430920,00;254616,00;1075664,00
"0202100049 QUANTIFICACAO/AMPLIFICACAO DO HER-2";-;-;-;-;-;-;-;-;-;-;-;-;14724,00;18972,00;18570,00;52266,00
"0202100219 DIAGNOSTICO DE LEUCEMIA CROMOSSOMA PHILADELPHIA POSITIVO POR TECNICA MOLECULAR";-;-;-;-;-;-;-;-;-;-;-;-;-;33752,16;44022,04;77774,20
"0202100227 REAVALIACAO DIAGNOSTICA DE LEUCEMIA CROMOSSOMA PHILADELPHIA POSITIVO POR TECNICA MOLECULAR";-;-;-;-;-;-;-;-;-;-;-;-;-;2190,24;19880,64;22070,88
"0202100235 PESQUISA DE MUTACAO DO GENE DA PROTROMBINA";-;-;-;-;-;-;-;-;-;-;-;-;-;16740,00;16785,00;33525,00
"0203010027 EXAME CITOPATOLOGICO HORMONAL SERIADO (MINIMO 3 COLETAS)";-;-;-;-;-;-;-;-;-;-;-;186,36;37090,99;103161,92;74445,69;214884,96
"0203010035 EXAME DE CITOLOGIA (EXCETO CERVICO-VAGINAL E DE MAMA)";-;-;-;-;-;-;-;-;-;21,30;-;106,50;294677,41;717386,98;494475,25;1506667,44
"0203020022 EXAME ANATOMO-PATOLOGICO DO COLO UTERINO - PECA CIRURGICA";-;-;-;-;-;-;-;-;-;-;-;-;255610,71;787619,44;836166,65;1879396,80
"0203020030 EXAME ANATOMO-PATOLOGICO PARA CONGELAMENTO / PARAFINA POR PECA CIRURGICA OU POR BIOPSIA (EXCETO COL";-;-;-;-;40,78;-;-;81,56;-;24,00;-;1452,00;30286413,52;82432980,30;73544878,54;186265870,70
"0203020049 IMUNOHISTOQUIMICA DE NEOPLASIAS MALIGNAS (POR MARCADOR)";-;-;-;-;-;-;-;-;-;-;-;3036,00;7704696,84;18175706,02;15297305,78;41180744,64
"0203020057 NECROPSIA";-;-;-;-;-;-;-;-;-;-;-;-;-;228950,44;434383,96;663334,40
"0204020018 MIELOGRAFIA";-;-;-;-;-;-;-;-;-;-;-;-;3223,18;5850,38;3612,38;12685,94
"0204030013 BRONCOGRAFIA UNILATERAL";-;-;-;-;-;-;-;-;-;-;-;-;3599,35;5233,41;2064,64;10897,40
"0204030048 MARCACAO PRE-CIRURGICA DE LESAO NAO PALPAVEL DE MAMA ASSOCIADA A MAMOGRAFIA";-;-;-;-;-;-;-;-;-;-;-;-;45387,50;88896,86;77478,10;211762,46
"0205010016 ECOCARDIOGRAFIA DE ESTRESSE";-;-;-;-;-;-;-;-;-;-;-;165,00;582689,25;1221643,50;795696,00;2600193,75
"0205010024 ECOCARDIOGRAFIA TRANSESOFAGICA";-;-;-;-;-;-;-;-;-;-;-;1815,00;1571418,75;2873582,25;2413026,00;6859842,00
"0205010032 ECOCARDIOGRAFIA TRANSTORACICA";307,50;-;-;-;159,76;39,94;119,82;119,82;107,80;239,64;119,82;8672,92;16119845,32;25732126,57;26640663,44;68502522,35
"0205010040 ULTRASSONOGRAFIA DOPPLER COLORIDO DE VASOS";-;-;158,40;-;198,00;-;-;-;118,80;79,20;118,80;3597,66;9678138,12;16469440,02;13101615,98;39253464,98
"0205010059 ULTRASSONOGRAFIA DOPPLER DE FLUXO OBSTETRICO";-;-;-;-;-;-;-;-;-;-;-;85,80;2406429,63;3881375,07;2898774,34;9186664,84
"0205020011 ECODOPPLER TRANSCRANIANO";-;-;-;-;-;-;-;-;-;-;-;117,00;627658,20;978757,65;644629,05;2251161,90
"0205020038 ULTRASSONOGRAFIA DE ABDOMEN SUPERIOR";24,20;-;-;-;-;-;-;-;24,20;48,40;-;217,80;823604,17;1298031,49;1021480,31;3143430,57
"0205020046 ULTRASSONOGRAFIA DE ABDOMEN TOTAL";379,50;-;-;37,95;531,30;265,65;341,55;569,25;493,35;417,45;379,50;3808,23;8678629,65;13645587,49;11001178,83;33332619,70
"0205020054 ULTRASSONOGRAFIA DE APARELHO URINARIO";72,60;-;-;-;-;48,40;24,20;96,80;96,80;24,20;96,80;1230,57;2705823,37;4366338,05;3516764,22;10590616,01
"0205020062 ULTRASSONOGRAFIA DE ARTICULACAO";290,40;-;-;-;145,20;48,40;24,20;-;121,00;72,60;-;556,60;559995,87;955074,32;791123,51;2307452,10
"0205020070 ULTRASSONOGRAFIA DE BOLSA ESCROTAL";-;-;-;-;-;-;-;193,60;-;-;-;121,00;238859,35;370232,22;304531,31;913937,48
"0205020089 ULTRASSONOGRAFIA DE GLOBO OCULAR / ORBITA (MONOCULAR)";48,40;-;-;-;-;-;-;-;-;-;-;-;18453,71;19335,80;12973,62;50811,53
"0205020097 ULTRASSONOGRAFIA MAMARIA BILATERAL";145,20;-;-;-;121,00;24,20;72,60;48,40;72,60;24,20;24,20;314,60;97976,48;163974,58;153104,28;415902,34
"0205020100 ULTRASSONOGRAFIA DE PROSTATA POR VIA ABDOMINAL";-;-;-;-;48,40;-;-;72,60;-;-;48,40;169,40;252950,48;422221,72;395072,55;1070583,55
"0205020119 ULTRASSONOGRAFIA DE PROSTATA (VIA TRANSRETAL)";-;-;-;-;-;-;24,20;-;-;-;48,40;48,40;92192,35;138429,03;112452,14;343194,52
"0205020127 ULTRASSONOGRAFIA DE TIREOIDE";24,20;-;-;-;72,60;24,20;24,20;72,60;48,40;48,40;-;96,80;168717,19;276769,91;236721,20;682619,70
"0205020135 ULTRASSONOGRAFIA DE TORAX (EXTRACARDIACA)";-;-;-;-;24,20;-;-;-;-;-;-;278,30;256192,23;412640,67;461863,19;1130998,59
"0205020143 ULTRASSONOGRAFIA OBSTETRICA";-;-;-;-;-;-;-;-;-;-;-;-;3447762,82;5522551,81;4116993,51;13087308,14
"0205020151 ULTRASSONOGRAFIA OBSTETRICA C/ DOPPLER COLORIDO E PULSADO";-;-;-;-;-;-;-;-;-;-;-;-;1896594,00;3319798,68;2568588,54;7784981,22
"0205020160 ULTRASSONOGRAFIA PELVICA (GINECOLOGICA)";145,20;-;-;-;169,40;24,20;-;-;96,80;-;48,40;108,90;525983,15;838175,39;639699,98;2004451,42
"0205020178 ULTRASSONOGRAFIA TRANSFONTANELA";-;-;-;-;-;-;-;-;-;-;-;2017,07;1563491,82;2382157,39;1723622,15;5671288,43
"0205020186 ULTRASSONOGRAFIA TRANSVAGINAL";-;-;-;-;-;24,20;-;-;96,80;24,20;-;84,70;1105952,43;1740698,10;1452695,15;4299575,58
"0205020194 MARCACAO DE LESAO PRE-CIRURGICA DE LESAO NAO PALPAVEL DE MAMA ASSOCIADA A ULTRASSONOGRAFIA";-;-;-;-;-;-;-;-;-;-;-;-;27976,65;55213,04;55672,28;138861,97
"0206010010 TOMOGRAFIA COMPUTADORIZADA DE COLUNA CERVICAL C/ OU S/ CONTRASTE";86,76;-;-;-;-;-;-;86,76;-;-;-;2025,84;4631279,75;7376860,58;5657421,78;17667761,47
"0206010028 TOMOGRAFIA COMPUTADORIZADA DE COLUNA LOMBO-SACRA C/ OU S/ CONTRASTE";-;-;-;-;-;-;303,30;101,10;-;101,10;-;1572,09;2900427,00;4705362,59;4024387,64;11632254,82
"0206010036 TOMOGRAFIA COMPUTADORIZADA DE COLUNA TORACICA C/ OU S/ CONTRASTE";-;-;-;-;-;-;-;86,76;-;-;-;1071,48;1754277,24;2928245,51;2415904,33;7099585,32
"0206010044 TOMOGRAFIA COMPUTADORIZADA DE FACE / SEIOS DA FACE / ARTICULACOES TEMPORO-MANDIBULARES";694,00;-;-;-;86,75;-;-;86,75;173,50;-;-;1171,11;3309200,69;5328407,81;4599827,46;13239648,07
"0206010052 TOMOGRAFIA COMPUTADORIZADA DO PESCOCO";-;-;-;-;-;-;-;-;-;-;-;693,99;2050257,75;3570723,77;2949527,04;8571202,55
"0206010060 TOMOGRAFIA COMPUTADORIZADA DE SELA TURCICA";-;-;-;-;-;-;-;-;-;-;-;-;114925,36;234469,59;322935,55;672330,50
"0206010079 TOMOGRAFIA COMPUTADORIZADA DO CRANIO";1656,48;-;-;-;292,32;292,32;779,52;292,32;1656,48;584,64;97,44;17246,86;52277827,69;84041771,97;67779341,59;204121839,63
"0206010087 TOMOMIELOGRAFIA COMPUTADORIZADA";-;-;-;-;-;-;-;-;-;-;-;-;10383,24;10979,40;26152,46;47515,10
"0206020015 TOMOGRAFIA COMPUTADORIZADA DE ARTICULACOES DE MEMBRO SUPERIOR";-;-;-;-;86,75;-;86,75;-;-;-;-;117,11;1628817,11;2576167,38;2071861,47;6277136,57
"0206020023 TOMOGRAFIA COMPUTADORIZADA DE SEGMENTOS APENDICULARES - (BRACO, ANTEBRACO, MAO, COXA, PERNA, PE)";-;-;-;-;-;-;-;-;-;-;-;-;1120939,23;1809368,58;1552108,19;4482416,00
"0206020031 TOMOGRAFIA COMPUTADORIZADA DE TORAX";2182,56;136,41;-;272,82;954,87;409,23;409,23;954,87;3137,43;2046,15;1091,28;20897,86;95482635,47;165120918,71;88848809,56;349484856,45
"0206020040 TOMOGRAFIA DE HEMITORAX, PULMAO OU DO MEDIASTINO";-;-;-;-;-;-;-;-;-;-;-;136,41;1061706,35;1200816,22;684473,02;2947132,00
"0206030010 TOMOGRAFIA COMPUTADORIZADA DE ABDOMEN SUPERIOR";1386,30;-;-;-;415,89;-;138,63;1109,04;554,52;970,41;-;13537,15;49753744,06;81246303,62;66682698,63;197700858,25
"0206030029 TOMOGRAFIA COMPUTADORIZADA DE ARTICULACOES DE MEMBRO INFERIOR";-;-;-;-;-;-;-;-;-;-;-;433,74;2907478,76;4663496,51;3593679,57;11165088,58
"0206030037 TOMOGRAFIA COMPUTADORIZADA DE PELVE / BACIA / ABDOMEN INFERIOR";1109,04;-;-;-;693,15;138,63;-;1247,67;1109,04;831,78;277,26;13426,25;44747798,50;73046597,14;61781980,87;179595209,33
"0207010013 ANGIORESSONANCIA CEREBRAL";-;-;-;-;-;-;-;-;-;-;-;1074,99;1943363,10;2843135,52;1994225,55;6781799,16
"0207010021 RESSONANCIA MAGNETICA DE ARTICULACAO TEMPORO-MANDIBULAR (BILATERAL)";-;-;-;-;-;-;-;-;-;-;-;-;47367,05;91885,29;64123,54;203375,88
"0207010030 RESSONANCIA MAGNETICA DE COLUNA CERVICAL/PESCOCO";-;-;-;-;-;-;-;-;-;-;-;2015,61;2574901,08;4372861,55;3586273,30;10536051,54
"0207010048 RESSONANCIA MAGNETICA DE COLUNA LOMBO-SACRA";-;-;-;-;-;-;-;-;-;-;-;1074,99;2780670,43;4612882,83;3853088,55;11247716,80
"0207010056 RESSONANCIA MAGNETICA DE COLUNA TORACICA";-;-;-;-;-;-;-;-;-;-;-;806,24;2071413,57;3470482,86;2889742,73;8432445,40
"0207010064 RESSONANCIA MAGNETICA DE CRANIO";-;-;-;-;-;-;-;-;537,50;-;-;4837,47;12290195,42;19670469,29;16110215,45;48076255,13
"0207010072 RESSONANCIA MAGNETICA DE SELA TURCICA";-;-;-;-;-;-;-;-;-;-;-;-;216343,25;361373,92;293165,44;870882,61
"0207020019 RESSONANCIA MAGNETICA DE CORACAO / AORTA C/ CINE";-;-;-;-;-;-;-;-;-;-;-;-;550399,26;1036857,12;912425,02;2499681,40
"0207020027 RESSONANCIA MAGNETICA DE MEMBRO SUPERIOR (UNILATERAL)";-;-;-;-;-;-;-;-;-;-;-;-;409695,11;638414,37;588104,76;1636214,24
"0207020035 RESSONANCIA MAGNETICA DE TORAX";-;-;-;-;-;-;-;-;-;-;-;806,24;364975,27;651583,52;443423,41;1460788,44
"0207030014 RESSONANCIA MAGNETICA DE ABDOMEN SUPERIOR";-;-;-;-;-;-;-;-;-;-;-;940,62;3325582,70;5195393,34;4331969,92;12853886,58
"0207030022 RESSONANCIA MAGNETICA DE BACIA / PELVE / ABDOMEN INFERIOR";-;-;-;-;-;-;-;-;-;-;-;537,50;2483768,13;4038000,73;3380613,13;9902919,49
"0207030030 RESSONANCIA MAGNETICA DE MEMBRO INFERIOR (UNILATERAL)";-;-;-;-;-;-;-;-;-;-;268,75;268,75;1209453,30;1957800,07;1510036,81;4677827,68
"0207030049 RESSONANCIA MAGNETICA DE VIAS BILIARES/COLANGIORRESSONANCIA";-;-;-;-;-;-;-;-;-;-;-;403,12;2907985,01;4681891,61;3924087,29;11514367,03
"0208010017 CINTILOGRAFIA DE CORACAO C/ GALIO 67";-;-;-;-;-;-;-;-;-;-;-;-;14893,24;34636,51;34224,72;83754,47
"0208010025 CINTILOGRAFIA DE MIOCARDIO P/ AVALIACAO DA PERFUSAO EM SITUACAO DE ESTRESSE (MINIMO 3 PROJECOES)";-;-;-;-;-;-;-;-;-;-;-;-;773532,00;1114788,62;983960,28;2872280,90
"0208010033 CINTILOGRAFIA DE MIOCARDIO P/ AVALIACAO DA PERFUSAO EM SITUACAO DE REPOUSO (MINIMO 3 PROJECOES)";-;-;-;-;-;-;-;-;-;-;-;-;733557,57;1036162,69;871117,34;2640837,60
"0208010041 CINTILOGRAFIA DE MIOCARDIO P/ LOCALIZACAO DE NECROSE (MINIMO 3 PROJECOES )";-;-;-;-;-;-;-;-;-;-;-;-;3928,66;9139,13;6109,41;19177,20
"0208010050 CINTILOGRAFIA P/ AVALIACAO DE FLUXO SANGUINEO DE EXTREMIDADES";-;-;-;-;-;-;-;-;-;-;-;-;3534,62;6464,93;3010,11;13009,66
"0208010068 CINTILOGRAFIA P/ QUANTIFICACAO DE SHUNT EXTRACARDIACO";-;-;-;-;-;-;-;-;-;-;-;-;213,85;-;427,70;641,55
"0208010076 CINTILOGRAFIA SINCRONIZADA DE CAMARAS CARDIACAS EM SITUACAO DE ESFORCO";-;-;-;-;-;-;-;-;-;-;-;-;2384,79;7519,60;644,55;10548,94
"0208010084 CINTILOGRAFIA SINCRONIZADA DE CAMARAS CARDIACAS EM SITUACAO DE REPOUSO (VENTRICULOGRAFIA)";-;-;-;-;-;-;-;-;-;-;-;-;42677,88;54438,59;39682,45;136798,92
"0208010092 DETERMINACAO DE FLUXO SANGUINEO REGIONAL";-;-;-;-;-;-;-;-;-;-;-;-;371,79;247,86;-;619,65
"0208020012 CINTILOGRAFIA DE FIGADO E BACO (MINIMO 5 IMAGENS)";-;-;-;-;-;-;-;-;-;-;-;-;932,82;1066,08;399,78;2398,68
"0208020020 CINTILOGRAFIA DE FIGADO E VIAS BILIARES";-;-;-;-;-;-;-;-;-;-;-;-;6737,27;3194,81;-;9932,08
"0208020039 CINTILOGRAFIA DE GLANDULAS SALIVARES C/ OU S/ ESTIMULO";-;-;-;-;-;-;-;-;-;-;-;-;703,11;1098,62;1001,92;2803,65
"0208020055 CINTILOGRAFIA P/ ESTUDO DE TRANSITO ESOFAGICO (LIQUIDO)";-;-;-;-;-;-;-;-;-;-;-;406,14;365,52;338,45;1137,18;2247,29
"0208020063 CINTILOGRAFIA P/ ESTUDO DE TRANSITO ESOFAGICO (SEMI-SOLIDO)";-;-;-;-;-;-;-;-;-;-;-;-;473,83;1150,73;609,21;2233,77
"0208020071 CINTILOGRAFIA P/ ESTUDO DE TRANSITO GASTRICO";-;-;-;-;-;-;-;-;-;-;-;-;4672,72;5941,86;3230,51;13845,09
"0208020080 CINTILOGRAFIA P/ PESQUISA DE DIVERTICULOSE DE MECKEL";-;-;-;-;-;-;-;-;-;-;-;-;3629,57;6259,86;2928,91;12818,34
"0208020098 CINTILOGRAFIA P/ PESQUISA DE HEMORRAGIA DIGESTIVA ATIVA";-;-;-;-;-;-;-;-;-;-;-;-;5770,28;8419,56;3466,90;17656,74
"0208020101 CINTILOGRAFIA P/ PESQUISA DE HEMORRAGIA DIGESTIVA NAO ATIVA";-;-;-;-;-;-;-;-;-;-;-;-;19410,66;16535,59;10490,16;46436,41
"0208020110 CINTILOGRAFIA P/ PESQUISA DE REFLUXO GASTRO-ESOFAGICO";-;-;-;-;-;-;-;-;-;-;-;203,07;2186,38;4907,49;4196,78;11493,72
"0208020128 IMUNO-CINTILOGRAFIA (ANTICORPO MONOCLONAL)";-;-;-;-;-;-;-;-;-;-;-;-;15445,64;30229,32;15445,64;61120,60
"0208030018 CINTILOGRAFIA DE PARATIREOIDES";-;-;-;-;-;-;-;-;-;-;-;-;30117,26;46441,63;36169,93;112728,82
"0208030026 CINTILOGRAFIA DE TIREOIDE COM OU SEM CAPTACAO";-;-;-;-;-;-;-;-;-;-;-;-;4057,20;6908,82;6391,04;17357,06
"0208030034 CINTILOGRAFIA DE TIREOIDE C/ TESTE DE SUPRESSAO / ESTIMULO";-;-;-;-;-;-;-;-;-;-;-;-;214,60;214,60;107,30;536,50
"0208030042 CINTILOGRAFIA P/ PESQUISA DO CORPO INTEIRO";-;-;-;-;-;-;-;-;-;-;-;-;78832,25;75784,10;86283,80;240900,15
"0208040021 CINTILOGRAFIA DE RIM C/ GALIO 67";-;-;-;-;-;-;-;-;-;-;-;-;7778,35;18370,61;14275,55;40424,51
"0208040030 CINTILOGRAFIA DE TESTICULO E BOLSA ESCROTAL";-;-;-;-;-;-;-;-;-;-;-;-;108,94;4248,66;2723,50;7081,10
"0208040056 CINTILOGRAFIA RENAL/RENOGRAMA (QUALITATIVA E/OU QUANTITATIVA)";-;-;-;-;-;-;-;-;-;-;-;-;41312,22;71669,28;55599,41;168580,91
"0208040064 CISTOCINTILOGRAFIA DIRETA";-;-;-;-;-;-;-;-;-;-;-;-;307,42;737,82;1414,15;2459,39
"0208040072 CISTOCINTILOGRAFIA INDIRETA";-;-;-;-;-;-;-;-;-;-;-;-;867,00;2073,57;2167,50;5108,07
"0208040080 DETERMINACAO DE FILTRACAO GLOMERULAR";-;-;-;-;-;-;-;-;-;-;-;-;853,47;4709,89;2971,34;8534,70
"0208040099 DETERMINACAO DE FLUXO PLASMATICO RENAL";-;-;-;-;-;-;-;-;-;-;-;-;126,44;316,10;632,20;1074,74
