 Procedimentos hospitalares do SUS - por local de internação - São Paulo
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Ano/mês atendimento
Município: 355410 TAUBATE
Procedimento: 0303040300 TRATAMENTO DO ACIDENTE VASCULAR CEREBRAL ISQUÊMICO AGUDO COM USO DE TROMBOLÍTICO, 0303060298 TRATAMENTO DE TROMBOSE VENOSA PROFUNDA
Período:2019-2022
"Ano/mês atendimento";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"  Novembro/2021";11;11;8250,54;7230,68;-;-;1019,86;-;-;750,05;750,05;97;8,8;-;-
"  Dezembro/2021";11;11;10875,45;9832,15;-;-;1043,30;-;-;988,68;988,68;69;6,3;-;-
"2022";180;180;167291,69;149933,32;-;-;17358,37;-;-;929,40;929,40;1143;6,3;1;0,56
"..Janeiro/2022";11;11;8363,74;7547,06;-;-;816,68;-;-;760,34;760,34;56;5,1;-;-
"..Fevereiro/2022";16;16;39545,39;35011,20;-;-;4534,19;-;-;2471,59;2471,59;194;12,1;1;6,25
"..Março/2022";15;15;10574,33;9370,56;-;-;1203,77;-;-;704,96;704,96;99;6,6;-;-
"..Abril/2022";15;15;10996,67;9843,20;-;-;1153,47;-;-;733,11;733,11;80;5,3;-;-
"..Maio/2022";14;14;9498,57;8459,63;-;-;1038,94;-;-;678,47;678,47;53;3,8;-;-
"..Junho/2022";14;14;12237,09;11134,49;-;-;1102,60;-;-;874,08;874,08;89;6,4;-;-
"..Julho/2022";9;9;6425,13;5774,22;-;-;650,91;-;-;713,90;713,90;39;4,3;-;-
"..Agosto/2022";21;21;19449,63;17723,55;-;-;1726,08;-;-;926,17;926,17;140;6,7;-;-
"..Setembro/2022";16;16;12077,30;10752,82;-;-;1324,48;-;-;754,83;754,83;99;6,2;-;-
"..Outubro/2022";17;17;13952,44;12606,29;-;-;1346,15;-;-;820,73;820,73;114;6,7;-;-
"..Novembro/2022";19;19;14302,44;12810,06;-;-;1492,38;-;-;752,76;752,76;118;6,2;-;-
"..Dezembro/2022";13;13;9868,96;8900,24;-;-;968,72;-;-;759,15;759,15;62;4,8;-;-
"Total";470;470;425307,06;377488,78;-;-;47818,28;-;-;904,91;904,91;3361;7,2;9;1,91
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
