 Morbidade Hospitalar do SUS - por local de internação - São Paulo
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Ano/mês atendimento
Município: 352440 JACAREI
Capítulo CID-10: IX.  Doenças do aparelho circulatório
Período:2019-2022
"Ano/mês atendimento";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"..Dezembro/2019";83;83;59342,95;49350,54;-;-;9992,41;-;-;714,98;714,98;297;3,6;9;10,84
"2020";847;847;897521,43;751766,80;-;-;145754,63;-;-;1059,65;1059,65;4126;4,9;108;12,75
"..Janeiro/2020";82;82;97332,84;81201,85;-;-;16130,99;-;-;1186,99;1186,99;364;4,4;12;14,63
"..Fevereiro/2020";76;76;62129,23;49264,59;-;-;12864,64;-;-;817,49;817,49;366;4,8;9;11,84
"..Março/2020";68;68;82789,78;71296,94;-;-;11492,84;-;-;1217,50;1217,50;423;6,2;5;7,35
"..Abril/2020";57;57;45773,65;38627,19;-;-;7146,46;-;-;803,05;803,05;310;5,4;6;10,53
"..Maio/2020";66;66;73564,45;61548,67;-;-;12015,78;-;-;1114,61;1114,61;281;4,3;7;10,61
"..Junho/2020";71;71;88808,86;75402,66;-;-;13406,20;-;-;1250,83;1250,83;320;4,5;8;11,27
"..Julho/2020";53;53;55865,75;49422,65;-;-;6443,10;-;-;1054,07;1054,07;244;4,6;9;16,98
"..Agosto/2020";83;83;95864,47;80511,00;-;-;15353,47;-;-;1154,99;1154,99;386;4,7;11;13,25
"..Setembro/2020";77;77;57741,63;46382,94;-;-;11358,69;-;-;749,89;749,89;317;4,1;9;11,69
"..Outubro/2020";75;75;71938,40;59684,82;-;-;12253,58;-;-;959,18;959,18;371;4,9;11;14,67
"..Novembro/2020";78;78;68902,65;56136,67;-;-;12765,98;-;-;883,37;883,37;397;5,1;6;7,69
"..Dezembro/2020";61;61;96809,72;82286,82;-;-;14522,90;-;-;1587,04;1587,04;347;5,7;15;24,59
"2021";889;889;942590,29;717255,63;22865,82;-;159570,11;-;-;1060,28;1060,28;4527;5,1;93;10,46
"  Janeiro/2021";60;60;55230,93;44203,96;-;-;11026,97;-;-;920,52;920,52;273;4,5;7;11,67
"  Fevereiro/2021";67;67;52612,10;41401,30;-;-;11210,80;-;-;785,26;785,26;253;3,8;7;10,45
"  Março/2021";59;59;52661,11;40522,25;1089,84;-;9041,30;-;-;892,56;892,56;278;4,7;4;6,78
"  Abril/2021";47;47;74452,64;65279,16;-;-;9173,48;-;-;1584,10;1584,10;327;7,0;7;14,89
"  Maio/2021";68;68;70268,82;61333,63;-;-;8935,19;-;-;1033,36;1033,36;420;6,2;14;20,59
"  Junho/2021";50;50;46455,30;41399,25;-;-;5056,05;-;-;929,11;929,11;375;7,5;8;16,00
"  Julho/2021";65;65;74985,92;65897,83;-;-;9088,09;-;-;1153,63;1153,63;448;6,9;6;9,23
"  Agosto/2021";73;73;66809,34;57262,67;-;-;9546,67;-;-;915,20;915,20;496;6,8;10;13,70
"  Setembro/2021";70;70;66792,29;55907,85;-;-;10884,44;-;-;954,18;954,18;403;5,8;9;12,86
"  Outubro/2021";137;137;154027,82;87928,99;11509,54;-;33069,07;-;-;1124,29;1124,29;391;2,9;5;3,65
"  Novembro/2021";108;108;133954,95;84473,63;7676,18;-;26662,15;-;-;1240,32;1240,32;486;4,5;7;6,48
"  Dezembro/2021";85;85;94339,07;71645,11;2590,26;-;15875,90;-;-;1109,87;1109,87;377;4,4;9;10,59
"2022";1041;1041;1721404,88;1446258,06;-;-;275146,82;-;-;1653,61;1653,61;6488;6,2;126;12,10
"..Janeiro/2022";60;60;144095,05;125345,19;-;-;18749,86;-;-;2401,58;2401,58;477;8,0;12;20,00
"..Fevereiro/2022";72;72;86386,38;75439,69;-;-;10946,69;-;-;1199,81;1199,81;443;6,2;8;11,11
"..Março/2022";95;95;84546,29;69536,04;-;-;15010,25;-;-;889,96;889,96;462;4,9;4;4,21
"..Abril/2022";81;81;147299,92;123514,80;-;-;23785,12;-;-;1818,52;1818,52;389;4,8;15;18,52
"..Maio/2022";77;77;96866,31;78477,68;-;-;18388,63;-;-;1258,00;1258,00;423;5,5;5;6,49
"..Junho/2022";96;96;180484,54;153109,86;-;-;27374,68;-;-;1880,05;1880,05;578;6,0;13;13,54
"..Julho/2022";113;113;182357,92;153785,09;-;-;28572,83;-;-;1613,79;1613,79;743;6,6;22;19,47
"..Agosto/2022";115;115;234098,98;197138,07;-;-;36960,91;-;-;2035,64;2035,64;899;7,8;12;10,43
"..Setembro/2022";88;88;179667,20;149373,97;-;-;30293,23;-;-;2041,67;2041,67;651;7,4;10;11,36
"..Outubro/2022";86;86;167923,57;140139,91;-;-;27783,66;-;-;1952,60;1952,60;677;7,9;7;8,14
"..Novembro/2022";95;95;148162,40;121587,60;-;-;26574,80;-;-;1559,60;1559,60;506;5,3;14;14,74
"..Dezembro/2022";63;63;69516,32;58810,16;-;-;10706,16;-;-;1103,43;1103,43;240;3,8;4;6,35
"Total";3818;3818;4617578,00;3762824,39;36483,71;-;753160,58;-;-;1209,42;1209,42;19889;5,2;447;11,71
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
